Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2023-03-19,21:00,La Liga,Matchweek 26,Sun,Away,L,1,2,Barcelona,0.5,1.6,46,95745,Karim Benzema,4-2-3-1,4-3-3,Ricardo de Burgos,Match Report,
2023-04-02,16:15,La Liga,Matchweek 27,Sun,Home,W,6,0,Valladolid,4.5,0.8,60,59400,Karim Benzema,4-2-3-1,3-5-2,Juan Pulido,Match Report,
2023-04-05,21:00,Copa del Rey,Semi-finals,Wed,Away,W,4,0,Barcelona,,,47,94902,Karim Benzema,4-3-3,4-3-3,Juan Martínez,Match Report,Leg 2 of 2; Real Madrid won
2023-04-08,21:00,La Liga,Matchweek 28,Sat,Home,L,2,3,Villarreal,2.4,1.5,49,57887,Karim Benzema,4-3-3,4-3-3,Alberola Rojas,Match Report,
2023-04-12,21:00,Champions Lg,Quarter-finals,Wed,Home,W,2,0,eng Chelsea,2.3,0.7,57,63142,Karim Benzema,4-3-3,3-5-2,François Letexier,Match Report,Leg 1 of 2
2023-04-15,21:00,La Liga,Matchweek 29,Sat,Away,W,2,0,Cádiz,3.5,0.7,69,19833,Karim Benzema,4-3-3,4-4-2,Jesús Gil,Match Report,
2023-04-18,20:00,Champions Lg,Quarter-finals,Tue,Away,W,2,0,eng Chelsea,1.8,1.9,46,39453,Karim Benzema,4-3-3,3-4-3,Daniele Orsato,Match Report,Leg 2 of 2; Real Madrid won
2023-04-22,21:00,La Liga,Matchweek 30,Sat,Home,W,2,0,Celta Vigo,1.5,0.9,66,60386,Karim Benzema,4-3-3,4-4-2,Antonio Matéu,Match Report,
2023-04-25,19:30,La Liga,Matchweek 31,Tue,Away,L,2,4,Girona,1.8,2.3,71,13306,Nacho,4-3-3,4-1-4-1,Javier Villanueva,Match Report,
2023-04-29,18:30,La Liga,Matchweek 32,Sat,Home,W,4,2,Almería,2.8,1.3,68,58036,Karim Benzema,4-3-3,4-5-1,Guillermo Cuadra,Match Report,
2023-05-02,22:00,La Liga,Matchweek 33,Tue,Away,L,0,2,Real Sociedad,0.8,1.9,47,35314,Nacho,4-3-3,4-1-4-1,Juan Pulido,Match Report,
2023-05-06,22:00,Copa del Rey,Final,Sat,Home,W,2,1,Osasuna,,,59,55579,Karim Benzema,4-3-3,4-2-3-1,José Sánchez,Match Report,
2023-05-09,21:00,Champions Lg,Semi-finals,Tue,Home,D,1,1,eng Manchester City,0.7,0.5,45,63485,Karim Benzema,4-3-3,3-2-4-1,Artur Dias,Match Report,Leg 1 of 2
2023-05-13,21:00,La Liga,Matchweek 34,Sat,Home,W,1,0,Getafe,0.9,0.7,75,52201,Nacho,4-3-3,4-3-3,Juan Martínez,Match Report,
2023-05-17,20:00,Champions Lg,Semi-finals,Wed,Away,L,0,4,eng Manchester City,0.5,2.8,41,52313,Karim Benzema,4-3-3,3-2-4-1,Szymon Marciniak,Match Report,Leg 2 of 2; Manchester City won
2023-05-21,18:30,La Liga,Matchweek 35,Sun,Away,L,0,1,Valencia,1.4,1.0,73,46002,Karim Benzema,4-3-3,4-2-3-1,Ricardo de Burgos,Match Report,
2023-05-24,19:30,La Liga,Matchweek 36,Wed,Home,W,2,1,Rayo Vallecano,1.3,0.7,61,45811,Karim Benzema,4-1-4-1,4-2-3-1,Jesús Gil,Match Report,
2023-05-27,19:00,La Liga,Matchweek 37,Sat,Away,W,2,1,Sevilla,0.8,1.2,67,29856,Luka Modrić,4-3-3,4-2-3-1,César Soto,Match Report,
2023-06-04,18:30,La Liga,Matchweek 38,Sun,Home,D,1,1,Athletic Club,1.8,2.3,64,60781,Karim Benzema,4-3-3,4-2-3-1,Isidro Díaz de Mera,Match Report,
